text,label
"không hào hứng vì giọng thầy trầm , tự tìm hiểu trên mạng rồi viết báo cáo môn học thôi .",0
"giảng viên dạy nhiệt tình , chu đáo , tận tâm , tạo mọi điều kiện cho sinh viên phát triển kỹ năng suy luận .",1
"slide bài giảng là slide cũ từ năm 2009 và không được sửa nhiều lỗi từ chính tả , ngữ pháp đến sai sót trong thông tin bài giảng .",0
"em rất yêu thầy , hy vọng được thầy dạy tiếp ở các môn học sau này hi hi .",1
không có tài liệu học tập .,0
"thầy có dặn nên up lên youtube , nhưng do mạng nhà yếu nên em nén lại up lên mediafire thì bị trừ điểm .",0
dạy một lúc quá nhiều bài .,0
giảng viên cần cung cấp rõ tài liệu thi lý thuyết bộ môn patin .,0
"phòng thực hành quá kém chất lượng , máy móc không đảm bảo .",0
nhiệt tình trong công tác giảng dạy .,1
"giảng viên không tổng kết , bổ sung lại kiến thức sau mỗi buổi tự thuyết trình của sinh viên , nhiều chỗ còn khó hiểu và kiến thức chưa sâu .",0
"một số kiến thức chỉ được giới hạn trong khuôn khổ của môn học , cần phát huy thêm khả năng tìm tòi sáng tạo của sinh viên trong các định lý định nghĩa có sẵn .",0
"giảng viên nên tận tình hơn , giúp sinh viên có cách học tốt hơn .",0
em có ý kiến là nên hoàn thành các bài tập thực hành trước khi kỳ thi bắt đầu .,0
thân thiện với học sinh .,1
"thầy dạy dễ hiểu thu hút , nhiệt tình bài tập dễ hiểu .",1
"nhìn cô dễ thương , giọng cô nghe rất ngọt .",1
chưa nói đến sinh viên tự tra .,0
"nói rõ mục tiêu cũng như các bước làm của lab , khối lượng bài tập vừa phải .",1
chữ viết trên bảng đôi khi hơi khó đoán .,0
thêm tài liệu thực tế .,0
rất nhiệt tình .,1
"môn học cần có nhiều bài tập hơn nữa , cần nhiều giáo trình hơn nữa .",0
"môn học này thật sự rất khó và chương trình học hơi nặng , lúc trước môn này dược chia ra làm 2 môn là cấu trúc dữ liệu 1 và cấu trúc dữ liệu 2 , năm nay lại gộp thành một nên sinh viên khó tải nổi kiến thức .",0
thầy nên giảng chậm hơn va cho slide bài giảng .,0
không được đánh mạnh .,0
tích cực giảng dạy thường xuyên giúp đỡ sinh viên .,1
"cô rất tận tình , nghiêm khắc trong giờ học .",1
"đề nghị trường có biện pháp nâng cấp phòng học vì phòng quá dơ , quá bụi , máy chiếu thì có phòng rất tốt nhưng cũng có phòng quá tệ .",0
giao tiếp tốt với sinh viên .,1
"tận tình , vui tính .",1
"thân thiện , vui vẻ .",1
"chưa tạo động lực học cho học sinh , chưa hướng dẫn rõ ràng cho sinh viên làm đồ án .",0
nhiều chỗ đọc mãi vẫn không thể hiểu .,0
cô có kiến thức cao và có nhiệt tình giúp sinh viên .,1
đôi chỗ khó hiểu .,0
nhìn không rõ .,0
"cần bổ sung thêm các game vào môn học , học anh văn mà không có game thì nói thật ra là rất dễ chán và buồn ngủ .",0
"cơ sơ vật chất tốt , giảng hay .",1
"em có phản ánh thế này doubledot thực hành là học cách tuần , trong khi đó thì bài thực hành mỗi tuần mỗi khác .",0
chưa tạo được nhiều hoạt động trên lớp .,0
"thầy dạy kỹ , dễ hiểu , minh họa lý thuyết kỹ , liên tưởng thực tế .",1
nhiệt tình giúp đỡ .,1
mong pđt nếu có thể sắp xếp cho thầy dạy tiếp lớp em những môn thầy có thể dạy được .,0
dạy quá tệ .,0
"thầy sử dụng tiếng anh và tiếng việt lẫn lộn , gây khó hiểu .",0
không đảm bảo giờ giảng dạy .,0
"giảng viên phát âm tiếng anh sai nhiều , rất khó nghe .",0
cần cải thiện máy chiếu .,0
giảng hơi khó hiểu đó nha .,0
có mấy môn em học và làm mấy bài lab xong rồi cũng chả hiểu được cái gì cả .,0
môn bài tập ta thường học trong phòng với đồ lau bảng không sạch làm ảnh hưởng đến các bài tập tiếp theo khi các bạn làm đè lên phần bôi chưa sạch .,0
nhưng chưa đảm bảo giờ bài tập coloncontemn .,0
"cô nhiệt tình , dễ thương .",1
vủi vẻ nhiệt tình .,1
không phải là không hài lòng mà khiếm khuyết nhỏ là giọng nói khi giảng dạy tuy hơi khó nghe .,0
"thầy cũng vui tính , nói chuyện liên hệ thực tiễn cao .",1
thầy rất tận tình và thân thiện .,1
em có góp ý với thầy ở vấn đề thuyết trình lấy điểm giữa kỳ doubledot một số bạn trình bày về công nghệ hay kỹ thuật rất hay nhưng do cách trình bày nên các bạn ở dưới chưa hiểu lắm .,0
thầy dạy bằng slide bài giảng hơi nhanh .,0
tài liệu thầy cho đem về ôn cũng phải chờ rất lâu mới có .,0
"truyền đạt dễ hiểu , phương pháp giảng dạy hứng thú .",1
"thầy giảng dễ hiểu , tận tâm với học sinh .",1
đôi khi thầy hơi khó tính .,1
"thầy dạy nhiệt tình , luôn vui vẻ .",1
giờ học thực hành bị trùng giờ học môn khác trên trường .,0
"nội dung thi , kiểm tra quá rộng .",0
"cô dạy tận tâm , nhưng cách dạy nặng về ngữ pháp nên nhàm chán .",0
"thầy giảng hơi khó hiểu , lên lớp hơi muộn , chưa đúng giờ .",0
hướng dẫn cách tiếp cận bài mới khó hiểu .,0
môn này là bị trùng hoặc thừa vì mấy môn trước như lập trình mạng với đồ án vô số sinh viên đã tự học cái này rồi .,0
thầy nghiêm khắc và nhiệt tình .,1
thầy dạy nhiệt tình và thân thiện với sinh viên .,1
"giảng viên nhiệt tình , giảng dạy từ từ , dễ hiểu .",1
đảm bảo số giờ lên lớp .,1
"giảng viên làm rõ được vấn đề , dạy những kiến thức thật sự thiết thực cho sinh viên , truyền đạt những kinh nghiệm thực tế trong quá trình giảng dạy .",1
cần thay đổi hệ thống máy tính ở một số phòng thực hành vì đã quá cũ .,0
"giáo viên trẻ trung , năng động , nhiệt tình , vui vẻ .",1
"giảng viên tận tâm , kiến thức tốt , khả năng truyền đạt tốt .",1
giảng viên dạy nhanh .,0
nghỉ nhiều nhưng bù ít .,0
cho nhiều ví dụ minh họa dễ hiểu .,1
cách truyền đạt tốt .,1
thầy trẻ mới ra trường nên rất nhiệt tình .,1
giảng viên thường xuyên đưa bài tập lên bảng để vừa giảng vừa tạo ra cuộc thảo luận .,1
được giảng viên hướng dẫn cụ thể dễ hiểu .,1
giảng viên dạy nhiệt huyết .,1
"giảng viên hướng dẫn nhiệt tình , chi tiết .",1
"thầy dạy rất dễ hiểu , đơn giản sát với thực tế .",1
"giảng viên tận tình , chu đáo , gần gũi sinh viên .",1
cách dạy của thầy không phù hợp với em nên khiến em khó khăn trong việc tiếp thu .,0
"cách dạy dễ hiểu , hướng dẫn tận tình .",1
"nhiệt tình , kiến thức rất chuẩn , vui vẻ , dễ gần .",1
"thầy nhiệt tình , vui tính , truyền đạt hay .",1
cần có cách khác phù hợp hơn .,0
cô dạy tận tâm .,1
cần cho nhiều dạng bài tập hơn .,0
"máy chiếu không rõ , hư hỏng , chập chờn .",0
