text,label_true,label_pred,score,error_type
không cho sinh viên nhiều kiến thức .,0,1,1,False Positive
điều này gây mất công bằng và không đánh giá được đúng năng lực học tập của các bạn .,0,1,2,False Positive
trang thiết bị phòng học cần được nâng cấp .,0,1,2,False Positive
giảng viên nên dạy lâu hơn mỗi buổi học .,0,1,2,False Positive
chuẩn bị âm thanh trước môn học ổn định để tránh mất thì giờ vì điều chỉnh âm thanh trong phòng học .,0,1,1,False Positive
cần thể hiện chi tiết hơn nội dung của môn học và nhiều ví dụ minh hoạ hơn .,0,1,5,False Positive
số lượng buổi học hơi ít so với nội dung thực hành .,0,1,1,False Positive
"còn những phần tìm bao đóng , chứng minh dạng chuẩn chưa làm rõ .",0,1,3,False Positive
"nên sử dụng máy chiếu để hiện rõ chữ , để giảm thời gian viết , tập trung thời gian vào việc giải bài tập minh họa .",0,1,5,False Positive
tóm lại thầy nên học một khóa về kỹ năng giao tiếp .,0,1,1,False Positive
giáo viên dạy chưa tốt .,0,1,2,False Positive
cần đảm bảo thời gian lên lớp .,0,1,2,False Positive
"nên cập nhật book , slide thường xuyên vì quá cũ không tích hợp được với chương trình bây giờ .",0,1,6,False Positive
giáo trình môn học nên cập nhật thường xuyên .,0,1,3,False Positive
giáo trình quá ít và nội dung không khác nhau là mấy .,0,1,3,False Positive
"những sinh viên được lòng giảng viên trên lớp sẽ qua môn một cách dễ dàng , còn những sinh viên còn lại chỉ cần sai sót nhỏ sẽ rớt môn .",0,1,9,False Positive
thêm các buổi học ngoại khoá .,0,1,1,False Positive
"thời gian thầy giảng dạy ngắn , thường cho lớp về sớm .",0,1,3,False Positive
"ra đề thi midterm cả lớp toàn 0 , 1 , 2 đến 3 điểm .",0,1,2,False Positive
nên sắp lịch học phù hợp .,0,1,4,False Positive
"tóm lại , kiến thức tổng quan thì có thể tiếp nhận nhưng kiến thức về chi tiết nội dung thì mập mờ .",0,1,4,False Positive
"phòng còn thiếu chất lượng , nhất là máy chiếu , máy chiếu gì mà mờ vàng không , làm giảm chất lượng slide trình chiếu , ảnh hưởng tới khả năng tiếp thu khi thầy wzjwz33 mô phỏng lý thuyết bằng hình ảnh .",0,1,5,False Positive
giảng dạy còn một số chỗ hơi khó hiểu .,0,1,4,False Positive
thầy nghỉ quá nhiều .,0,1,3,False Positive
không thấy được ứng dụng thực tế .,0,1,1,False Positive
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",0,1,2,False Positive
"cô dạy khá nhiệt tình , tuy nhiên lý thuyết dạy cô còn hay nhầm lần , làm sinh viên mơ hồ .",0,1,4,False Positive
"một số bài tập không rõ , không đi sâu .",0,1,5,False Positive
giảng viên thường xuyên nghỉ không báo trước .,0,1,5,False Positive
nên nâng cấp phòng lab .,0,1,2,False Positive
có cảm giác cô giảng không thu hút em .,0,1,2,False Positive
chưa có diễn đàn trên courses để sinh viên có thể hỏi .,0,1,3,False Positive
"vừa đọc slide vừa giảng , dễ gây buồn ngủ và hơi khó hiểu .",0,1,5,False Positive
