text,label_true,label_pred,score,error_type
Phần lý thuyết hơi nhàm chán .,0,1,1.5,False Positive
Tuy cuốn hút nhưng dạy hơi khó theo dõi .,0,1,2.5,False Positive
Thật sự cách truyền đạt còn nhiều chỗ chưa hợp lý .,0,1,2.0,False Positive
Tuy hơi lộn xộn nhưng khá hữu ích .,1,0,0.5,False Negative
Nhìn chung phương pháp dạy thiếu tính ứng dụng .,0,1,2.0,False Positive
Cách truyền đạt vô cùng nhàm chán .,0,1,3.0,False Positive
Bài giảng chẳng hề buồn ngủ một chút nào .,1,0,0.0,False Negative
Thật sự giáo trình còn khá dàn trải .,0,1,2.0,False Positive
Nói thật slide bài giảng cần sắp xếp nội dung logic hơn .,0,1,2.5,False Positive
Theo em slide bài giảng nên sắp xếp nội dung logic hơn .,0,1,2.5,False Positive
Tuy hơi chán nhưng rất dễ tiếp thu .,1,0,-0.5,False Negative
Phương pháp dạy chưa tạo được hứng thú .,0,1,1.0,False Positive
Tuy hơi hời hợt nhưng hơi thú vị .,1,0,0.0,False Negative
Nói thật bài giảng tương đối cuốn hút .,1,0,0.8,False Negative
Nói thật cách giảng dạy cần sắp xếp nội dung logic hơn .,0,1,2.5,False Positive
Nội dung môn học còn nhiều chỗ chưa hợp lý .,0,1,2.0,False Positive
Tuy hơi sơ sài nhưng khá hấp dẫn .,1,0,0.5,False Negative
Tuy rõ ràng nhưng dạy vô cùng khó theo dõi .,0,1,3.0,False Positive
Tuy hơi tệ nhưng khá bổ ích .,1,0,0.5,False Negative
Giảng viên truyền đạt chẳng rõ ràng .,0,1,1.0,False Positive
Tuy hơi lộn xộn nhưng vô cùng rõ ràng .,1,0,-0.5,False Negative
Theo em cô còn sơ sài và thiếu chiều sâu .,0,1,1.0,False Positive
Bài giảng chẳng hề lan man chút nào .,1,0,-1.0,False Negative
Tuy hơi mơ hồ nhưng hơi hay .,1,0,0.0,False Negative
Nói chung phần lý thuyết chưa tạo được hứng thú .,0,1,1.0,False Positive
Tuy hơi tệ nhưng hơi hay .,1,0,0.0,False Negative
Nhìn chung nội dung môn học nên sắp xếp nội dung logic hơn .,0,1,4.5,False Positive
Giáo trình nên cập nhật lại giáo trình .,0,1,1.5,False Positive
Giảng viên truyền đạt chẳng dễ tiếp thu .,0,1,1.0,False Positive
Tuy bổ ích nhưng dạy hơi khó theo dõi .,0,1,2.5,False Positive
Nhìn chung slide bài giảng cần giảng chậm và kỹ hơn .,0,1,2.5,False Positive
Nói thật môn học này nên cập nhật lại giáo trình .,0,1,1.5,False Positive
Phương pháp dạy còn nhiều chỗ chưa hợp lý .,0,1,1.0,False Positive
Nói thật nội dung môn học còn sơ sài và thiếu chiều sâu .,0,1,3.0,False Positive
Cách truyền đạt không hề khó theo dõi chút nào .,1,0,0.0,False Negative
Nội dung môn học chưa bám sát thực tế .,0,1,1.0,False Positive
Nội dung môn học hơi khô khan .,0,1,2.5,False Positive
Slide bài giảng hơi lan man .,0,1,1.5,False Positive
Giáo trình cần sắp xếp nội dung logic hơn .,0,1,2.5,False Positive
Cô vô cùng buồn ngủ .,0,1,2.0,False Positive
Tuy hơi khô khan nhưng cực kỳ dễ tiếp thu .,1,0,0.5,False Negative
Môn học này quá nhàm chán .,0,1,2.5,False Positive
Tuy hơi hời hợt nhưng hơi hấp dẫn .,1,0,0.0,False Negative
Tuy hơi tệ nhưng quá dễ tiếp thu .,1,0,-0.5,False Negative
Tuy tận tâm nhưng dạy vô cùng khó theo dõi .,0,1,4.0,False Positive
Nói thật cô còn sơ sài và thiếu chiều sâu .,0,1,1.0,False Positive
